city,month,year,zcta,desc_crime_type,population,count,rate
DC,Jan,2016,20001,assault,44998,13,28.89017289657318
DC,Jan,2016,20001,burglary,44998,11,24.445530912484998
DC,Jan,2016,20001,homicide,44998,1,2.2223209920440907
DC,Jan,2016,20001,mvt,44998,13,28.89017289657318
DC,Jan,2016,20001,robbery,44998,26,57.78034579314636
DC,Jan,2016,20001,sex crimes,44998,3,6.666962976132273
DC,Jan,2016,20001,theft,44998,195,433.3525934485977
DC,Jan,2016,20002,assault,59659,19,31.847667577398212
DC,Jan,2016,20002,burglary,59659,16,26.819088486230076
DC,Jan,2016,20002,mvt,59659,21,35.200053638176975
DC,Jan,2016,20002,robbery,59659,40,67.0477212155752
DC,Jan,2016,20002,sex crimes,59659,3,5.0285790911681385
DC,Jan,2016,20002,theft,59659,163,273.2194639534689
DC,Jan,2016,20003,assault,29071,7,24.078979051288226
DC,Jan,2016,20003,burglary,29071,6,20.639124901104193
DC,Jan,2016,20003,mvt,29071,8,27.51883320147226
DC,Jan,2016,20003,robbery,29071,9,30.958687351656287
DC,Jan,2016,20003,sex crimes,29071,2,6.879708300368065
DC,Jan,2016,20003,theft,29071,124,426.54191462282
DC,Jan,2016,20004,assault,1708,3,175.6440281030445
DC,Jan,2016,20004,burglary,1708,1,58.5480093676815
DC,Jan,2016,20004,mvt,1708,3,175.6440281030445
DC,Jan,2016,20004,robbery,1708,2,117.096018735363
DC,Jan,2016,20004,theft,1708,34,1990.632318501171
DC,Jan,2016,20005,assault,13063,1,7.655209369976269
DC,Jan,2016,20005,burglary,13063,5,38.27604684988134
DC,Jan,2016,20005,mvt,13063,4,30.620837479905077
DC,Jan,2016,20005,robbery,13063,2,15.310418739952539
DC,Jan,2016,20005,theft,13063,76,581.7959121181964
DC,Jan,2016,20006,burglary,2920,2,68.4931506849315
DC,Jan,2016,20006,mvt,2920,5,171.23287671232876
DC,Jan,2016,20006,theft,2920,29,993.1506849315069
DC,Jan,2016,20007,assault,26415,3,11.357183418512209
DC,Jan,2016,20007,burglary,26415,3,11.357183418512209
DC,Jan,2016,20007,mvt,26415,4,15.142911224682944
DC,Jan,2016,20007,robbery,26415,1,3.785727806170736
DC,Jan,2016,20007,sex crimes,26415,2,7.571455612341472
DC,Jan,2016,20007,theft,26415,68,257.42949081961007
DC,Jan,2016,20008,assault,28261,1,3.538445207175967
DC,Jan,2016,20008,mvt,28261,1,3.538445207175967
DC,Jan,2016,20008,robbery,28261,3,10.615335621527901
DC,Jan,2016,20008,theft,28261,48,169.84536994444642
DC,Jan,2016,20009,assault,51508,7,13.590121922808107
DC,Jan,2016,20009,burglary,51508,11,21.355905878698454
DC,Jan,2016,20009,mvt,51508,8,15.531567911780694
DC,Jan,2016,20009,robbery,51508,7,13.590121922808107
DC,Jan,2016,20009,sex crimes,51508,1,1.9414459889725868
DC,Jan,2016,20009,theft,51508,150,291.216898345888
DC,Jan,2016,20010,assault,32421,5,15.422102957959348
DC,Jan,2016,20010,burglary,32421,3,9.253261774775607
DC,Jan,2016,20010,mvt,32421,1,3.0844205915918694
DC,Jan,2016,20010,robbery,32421,18,55.51957064865365
DC,Jan,2016,20010,sex crimes,32421,2,6.168841183183739
DC,Jan,2016,20010,theft,32421,91,280.6822738348601
DC,Jan,2016,20011,assault,67349,11,16.332833449642905
DC,Jan,2016,20011,burglary,67349,13,19.30243953139616
DC,Jan,2016,20011,homicide,67349,1,1.4848030408766277
DC,Jan,2016,20011,mvt,67349,15,22.272045613149416
DC,Jan,2016,20011,robbery,67349,29,43.059288185422204
DC,Jan,2016,20011,theft,67349,102,151.44991016941603
DC,Jan,2016,20012,assault,14457,2,13.834128795739089
DC,Jan,2016,20012,burglary,14457,8,55.336515182956354
DC,Jan,2016,20012,mvt,14457,3,20.751193193608636
DC,Jan,2016,20012,robbery,14457,7,48.41945078508681
DC,Jan,2016,20012,sex crimes,14457,2,13.834128795739089
DC,Jan,2016,20012,theft,14457,32,221.34606073182542
DC,Jan,2016,20015,assault,16323,3,18.37897445322551
DC,Jan,2016,20015,burglary,16323,4,24.505299270967345
DC,Jan,2016,20015,mvt,16323,4,24.505299270967345
DC,Jan,2016,20015,theft,16323,28,171.53709489677144
DC,Jan,2016,20016,assault,35192,3,8.524664696521937
DC,Jan,2016,20016,burglary,35192,4,11.366219595362583
DC,Jan,2016,20016,robbery,35192,1,2.841554898840646
DC,Jan,2016,20016,theft,35192,44,125.02841554898842
DC,Jan,2016,20017,assault,20371,2,9.817878356487164
DC,Jan,2016,20017,burglary,20371,4,19.635756712974327
DC,Jan,2016,20017,mvt,20371,9,44.18045260419223
DC,Jan,2016,20017,robbery,20371,5,24.544695891217906
DC,Jan,2016,20017,sex crimes,20371,2,9.817878356487164
DC,Jan,2016,20017,theft,20371,41,201.26650630798684
DC,Jan,2016,20018,assault,20363,4,19.643471001325935
DC,Jan,2016,20018,burglary,20363,3,14.732603250994451
DC,Jan,2016,20018,mvt,20363,10,49.10867750331484
DC,Jan,2016,20018,robbery,20363,9,44.19780975298335
DC,Jan,2016,20018,sex crimes,20363,3,14.732603250994451
DC,Jan,2016,20018,theft,20363,64,314.29553602121496
DC,Jan,2016,20019,arson,57962,1,1.7252682792174183
DC,Jan,2016,20019,assault,57962,36,62.10965805182706
DC,Jan,2016,20019,burglary,57962,31,53.48331665573997
DC,Jan,2016,20019,homicide,57962,3,5.175804837652255
DC,Jan,2016,20019,mvt,57962,27,46.582243538870294
DC,Jan,2016,20019,robbery,57962,50,86.26341396087092
DC,Jan,2016,20019,sex crimes,57962,4,6.901073116869673
DC,Jan,2016,20019,theft,57962,125,215.65853490217728
DC,Jan,2016,20020,assault,54955,28,50.950777909198436
DC,Jan,2016,20020,burglary,54955,12,21.836047675370757
DC,Jan,2016,20020,homicide,54955,4,7.278682558456919
DC,Jan,2016,20020,mvt,54955,24,43.672095350741515
DC,Jan,2016,20020,robbery,54955,39,70.96715494495496
DC,Jan,2016,20020,sex crimes,54955,4,7.278682558456919
DC,Jan,2016,20020,theft,54955,108,196.52442907833685
DC,Jan,2016,20024,assault,12183,7,57.45711236969547
DC,Jan,2016,20024,mvt,12183,4,32.83263563982599
DC,Jan,2016,20024,robbery,12183,4,32.83263563982599
DC,Jan,2016,20024,theft,12183,21,172.37133710908643
DC,Jan,2016,20032,assault,41232,18,43.655413271245635
DC,Jan,2016,20032,burglary,41232,5,12.12650368645712
DC,Jan,2016,20032,mvt,41232,14,33.95421032207994
DC,Jan,2016,20032,robbery,41232,40,97.01202949165696
DC,Jan,2016,20032,sex crimes,41232,2,4.850601474582848
DC,Jan,2016,20032,theft,41232,53,128.54093907644548
DC,Jan,2016,20036,assault,5655,5,88.41732979664013
DC,Jan,2016,20036,burglary,5655,6,106.10079575596816
DC,Jan,2016,20036,mvt,5655,2,35.36693191865606
DC,Jan,2016,20036,robbery,5655,3,53.05039787798408
DC,Jan,2016,20036,sex crimes,5655,1,17.68346595932803
DC,Jan,2016,20036,theft,5655,80,1414.6772767462421
DC,Jan,2016,20037,assault,15285,1,6.542361792607132
DC,Jan,2016,20037,burglary,15285,5,32.71180896303566
DC,Jan,2016,20037,mvt,15285,2,13.084723585214263
DC,Jan,2016,20037,theft,15285,32,209.3555773634282
DC,Jan,2016,20045,theft,0,4,Inf
DC,Jan,2016,20057,theft,3697,1,27.04895861509332
DC,Jan,2016,20228,theft,0,2,Inf
DC,Jan,2016,20260,theft,0,1,Inf
DC,Jan,2016,20307,mvt,217,1,460.8294930875576
DC,Jan,2016,20317,mvt,460,1,217.3913043478261
DC,Jan,2016,20317,theft,460,2,434.7826086956522
DC,Jan,2016,20319,theft,69,1,1449.2753623188405
DC,Jan,2016,20560,theft,0,1,Inf
DC,Jan,2016,20745,assault,29512,1,3.38845215505557
DC,Jan,2016,20745,robbery,29512,1,3.38845215505557
DC,Jan,2016,20745,theft,29512,2,6.77690431011114
DC,Jan,2016,20746,theft,27322,1,3.660054168801698
DC,Jan,2016,20912,theft,26221,1,3.8137370809656383
DC,Jan,2017,20001,assault,45925,11,23.952095808383234
DC,Jan,2017,20001,burglary,45925,20,43.54926510615133
DC,Jan,2017,20001,mvt,45925,14,30.484485574305932
DC,Jan,2017,20001,robbery,45925,12,26.129559063690802
DC,Jan,2017,20001,sex crimes,45925,3,6.532389765922701
DC,Jan,2017,20001,theft,45925,327,712.0304844855742
DC,Jan,2017,20002,arson,61787,1,1.6184634308187806
DC,Jan,2017,20002,assault,61787,26,42.0800492012883
DC,Jan,2017,20002,burglary,61787,21,33.98773204719439
DC,Jan,2017,20002,homicide,61787,4,6.4738537232751225
DC,Jan,2017,20002,mvt,61787,17,27.513878323919272
DC,Jan,2017,20002,robbery,61787,28,45.31697606292586
DC,Jan,2017,20002,sex crimes,61787,2,3.2369268616375613
DC,Jan,2017,20002,theft,61787,309,500.1052001230032
DC,Jan,2017,20003,assault,30259,4,13.219207508509864
