city,month,year,zcta,desc_crime_type,population,count,rate
charlotte,Jan,2017,20202,other,0,1,Inf
charlotte,Jan,2017,21213,assault,31733,1,3.1512936060252734
charlotte,Jan,2017,27520,other,40116,1,2.492770964203809
charlotte,Jan,2017,28025,other,53874,1,1.8561829453910978
charlotte,Jan,2017,28078,other,58993,1,1.6951163697387825
charlotte,Jan,2017,28078,sex crimes,58993,1,1.6951163697387825
charlotte,Jan,2017,28078,theft,58993,3,5.085349109216348
charlotte,Jan,2017,28105,assault,45379,3,6.610987461160448
charlotte,Jan,2017,28105,burglary,45379,1,2.203662487053483
charlotte,Jan,2017,28105,drugs,45379,1,2.203662487053483
charlotte,Jan,2017,28105,other,45379,18,39.665924766962696
charlotte,Jan,2017,28105,robbery,45379,1,2.203662487053483
charlotte,Jan,2017,28105,theft,45379,11,24.24028735758831
charlotte,Jan,2017,28107,theft,7297,1,13.704262025489927
charlotte,Jan,2017,28110,other,53744,1,1.860672819291456
charlotte,Jan,2017,28115,other,36087,1,2.771080998697592
charlotte,Jan,2017,28117,assault,38140,1,2.6219192448872572
charlotte,Jan,2017,28134,arson,11050,1,9.049773755656108
charlotte,Jan,2017,28134,assault,11050,2,18.099547511312217
charlotte,Jan,2017,28134,mvt,11050,1,9.049773755656108
charlotte,Jan,2017,28134,other,11050,10,90.49773755656109
charlotte,Jan,2017,28134,theft,11050,5,45.248868778280546
charlotte,Jan,2017,28173,assault,54651,1,1.8297926844888475
charlotte,Jan,2017,28173,other,54651,1,1.8297926844888475
charlotte,Jan,2017,28202,arson,12094,3,24.805688771291553
charlotte,Jan,2017,28202,assault,12094,50,413.4281461881925
charlotte,Jan,2017,28202,burglary,12094,8,66.1485033901108
charlotte,Jan,2017,28202,drugs,12094,21,173.63982139904084
charlotte,Jan,2017,28202,mvt,12094,2,16.5371258475277
charlotte,Jan,2017,28202,other,12094,159,1314.7015048784522
charlotte,Jan,2017,28202,robbery,12094,7,57.879940466346945
charlotte,Jan,2017,28202,sex crimes,12094,1,8.26856292376385
charlotte,Jan,2017,28202,theft,12094,63,520.9194641971226
charlotte,Jan,2017,28202,weapon,12094,3,24.805688771291553
charlotte,Jan,2017,28203,assault,14824,11,74.2039935240151
charlotte,Jan,2017,28203,burglary,14824,15,101.18726389638424
charlotte,Jan,2017,28203,drugs,14824,6,40.474905558553694
charlotte,Jan,2017,28203,mvt,14824,8,53.96654074473826
charlotte,Jan,2017,28203,other,14824,62,418.2406907717215
charlotte,Jan,2017,28203,robbery,14824,6,40.474905558553694
charlotte,Jan,2017,28203,theft,14824,56,377.7657852131678
charlotte,Jan,2017,28203,weapon,14824,1,6.745817593092283
charlotte,Jan,2017,28204,assault,6164,7,113.56262167423752
charlotte,Jan,2017,28204,mvt,6164,1,16.223231667748216
charlotte,Jan,2017,28204,other,6164,45,730.0454250486697
charlotte,Jan,2017,28204,robbery,6164,1,16.223231667748216
charlotte,Jan,2017,28204,theft,6164,29,470.47371836469824
charlotte,Jan,2017,28205,arson,46771,1,2.1380770135340272
charlotte,Jan,2017,28205,assault,46771,70,149.66539094738192
charlotte,Jan,2017,28205,burglary,46771,80,171.0461610827222
charlotte,Jan,2017,28205,drugs,46771,48,102.62769664963332
