city,month,year,zcta,desc_crime_type,population,count,rate
chicago,Jan,2016,46320,theft,14822,1,6.746727836999056
chicago,Jan,2016,60018,assault,30519,1,3.2766473344473934
chicago,Jan,2016,60018,drugs,30519,8,26.213178675579147
chicago,Jan,2016,60018,mvt,30519,1,3.2766473344473934
chicago,Jan,2016,60018,other,30519,40,131.06589337789572
chicago,Jan,2016,60018,sex crimes,30519,1,3.2766473344473934
chicago,Jan,2016,60018,theft,30519,17,55.70300468560569
chicago,Jan,2016,60068,theft,37567,2,5.323821439028935
chicago,Jan,2016,60131,drugs,18072,4,22.13368747233289
chicago,Jan,2016,60131,other,18072,1,5.533421868083223
chicago,Jan,2016,60176,other,11813,1,8.465250148141877
chicago,Jan,2016,60302,burglary,32258,1,3.1000062000124005
chicago,Jan,2016,60302,other,32258,6,18.6000372000744
chicago,Jan,2016,60302,theft,32258,2,6.200012400024801
chicago,Jan,2016,60304,assault,17402,2,11.492931846914148
chicago,Jan,2016,60304,mvt,17402,1,5.746465923457074
chicago,Jan,2016,60304,robbery,17402,1,5.746465923457074
chicago,Jan,2016,60456,other,4343,1,23.025558369790467
chicago,Jan,2016,60601,assault,13695,4,29.207740051113547
chicago,Jan,2016,60601,burglary,13695,2,14.603870025556773
chicago,Jan,2016,60601,drugs,13695,2,14.603870025556773
chicago,Jan,2016,60601,mvt,13695,3,21.90580503833516
chicago,Jan,2016,60601,other,13695,65,474.6257758305951
chicago,Jan,2016,60601,robbery,13695,10,73.01935012778387
chicago,Jan,2016,60601,sex crimes,13695,2,14.603870025556773
chicago,Jan,2016,60601,theft,13695,99,722.8915662650603
chicago,Jan,2016,60602,assault,1252,7,559.1054313099041
chicago,Jan,2016,60602,burglary,1252,2,159.7444089456869
chicago,Jan,2016,60602,drugs,1252,1,79.87220447284345
chicago,Jan,2016,60602,mvt,1252,2,159.7444089456869
chicago,Jan,2016,60602,other,1252,42,3354.632587859425
chicago,Jan,2016,60602,robbery,1252,1,79.87220447284345
chicago,Jan,2016,60602,theft,1252,124,9904.153354632588
chicago,Jan,2016,60603,assault,1029,3,291.5451895043732
chicago,Jan,2016,60603,burglary,1029,1,97.18172983479106
chicago,Jan,2016,60603,drugs,1029,2,194.3634596695821
chicago,Jan,2016,60603,other,1029,34,3304.178814382896
chicago,Jan,2016,60603,robbery,1029,2,194.3634596695821
chicago,Jan,2016,60603,theft,1029,27,2623.906705539359
chicago,Jan,2016,60604,assault,619,3,484.6526655896607
chicago,Jan,2016,60604,burglary,619,1,161.55088852988692
chicago,Jan,2016,60604,drugs,619,1,161.55088852988692
chicago,Jan,2016,60604,other,619,29,4684.97576736672
chicago,Jan,2016,60604,robbery,619,6,969.3053311793215
chicago,Jan,2016,60604,sex crimes,619,1,161.55088852988692
chicago,Jan,2016,60604,theft,619,34,5492.730210016155
chicago,Jan,2016,60605,assault,26623,11,41.3176576644255
chicago,Jan,2016,60605,burglary,26623,9,33.80535627089359
chicago,Jan,2016,60605,drugs,26623,2,7.512301393531909
chicago,Jan,2016,60605,mvt,26623,6,22.536904180595723
chicago,Jan,2016,60605,other,26623,85,319.27280922510613
chicago,Jan,2016,60605,robbery,26623,6,22.536904180595723
chicago,Jan,2016,60605,sex crimes,26623,1,3.7561506967659546
chicago,Jan,2016,60605,theft,26623,64,240.3936445930211
chicago,Jan,2016,60605,weapon,26623,1,3.7561506967659546
chicago,Jan,2016,60606,assault,3011,2,66.42311524410495
chicago,Jan,2016,60606,drugs,3011,2,66.42311524410495
chicago,Jan,2016,60606,mvt,3011,2,66.42311524410495
chicago,Jan,2016,60606,other,3011,56,1859.8472268349385
chicago,Jan,2016,60606,robbery,3011,4,132.8462304882099
chicago,Jan,2016,60606,theft,3011,40,1328.462304882099
chicago,Jan,2016,60607,assault,28377,11,38.763787574444095
chicago,Jan,2016,60607,burglary,28377,4,14.095922754343306
chicago,Jan,2016,60607,mvt,28377,7,24.667864820100785
chicago,Jan,2016,60607,other,28377,108,380.5899143672693
chicago,Jan,2016,60607,robbery,28377,4,14.095922754343306
chicago,Jan,2016,60607,sex crimes,28377,2,7.047961377171653
chicago,Jan,2016,60607,theft,28377,106,373.5419529900976
chicago,Jan,2016,60608,arson,78072,2,2.561737882979813
