city,month,year,zcta,desc_crime_type,population,count,rate
denver,Jan,2020,80011,drugs,51806,1,1.930278346137513
denver,Jan,2020,80011,other,51806,1,1.930278346137513
denver,Jan,2020,80012,mvt,53862,1,1.856596487319446
denver,Jan,2020,80012,other,53862,2,3.713192974638892
denver,Jan,2020,80012,theft,53862,1,1.856596487319446
denver,Jan,2020,80014,burglary,39540,2,5.05816894284269
denver,Jan,2020,80014,mvt,39540,8,20.23267577137076
denver,Jan,2020,80014,other,39540,7,17.70359129994942
denver,Jan,2020,80014,theft,39540,11,27.8199291856348
denver,Jan,2020,80014,weapon,39540,1,2.529084471421345
denver,Jan,2020,80110,burglary,23295,1,4.2927666881305
denver,Jan,2020,80110,mvt,23295,2,8.585533376261
denver,Jan,2020,80110,other,23295,1,4.2927666881305
denver,Jan,2020,80110,theft,23295,4,17.171066752522
denver,Jan,2020,80123,burglary,46575,3,6.44122383252818
denver,Jan,2020,80123,drugs,46575,1,2.147074610842727
denver,Jan,2020,80123,mvt,46575,4,8.588298443370908
denver,Jan,2020,80123,other,46575,6,12.88244766505636
denver,Jan,2020,80123,robbery,46575,1,2.147074610842727
denver,Jan,2020,80123,theft,46575,23,49.382716049382715
denver,Jan,2020,80123,weapon,46575,2,4.294149221685454
denver,Jan,2020,80202,arson,15813,3,18.971732119142477
denver,Jan,2020,80202,assault,15813,36,227.66078542970973
denver,Jan,2020,80202,burglary,15813,10,63.239107063808255
denver,Jan,2020,80202,drugs,15813,26,164.42167836590147
denver,Jan,2020,80202,mvt,15813,9,56.91519635742743
denver,Jan,2020,80202,other,15813,179,1131.9800164421679
denver,Jan,2020,80202,robbery,15813,5,31.619553531904128
denver,Jan,2020,80202,theft,15813,148,935.9387845443622
denver,Jan,2020,80202,weapon,15813,3,18.971732119142477
denver,Jan,2020,80203,assault,21368,15,70.19842755522276
denver,Jan,2020,80203,burglary,21368,11,51.47884687383003
denver,Jan,2020,80203,drugs,21368,28,131.03706476974915
denver,Jan,2020,80203,mvt,21368,14,65.51853238487458
denver,Jan,2020,80203,other,21368,105,491.3889928865593
denver,Jan,2020,80203,theft,21368,51,238.6746536877574
denver,Jan,2020,80203,weapon,21368,11,51.47884687383003
denver,Jan,2020,80204,assault,34860,42,120.48192771084338
denver,Jan,2020,80204,burglary,34860,23,65.978198508319
denver,Jan,2020,80204,drugs,34860,54,154.9053356282272
denver,Jan,2020,80204,mvt,34860,21,60.24096385542169
denver,Jan,2020,80204,other,34860,170,487.66494549627083
denver,Jan,2020,80204,robbery,34860,5,14.343086632243258
denver,Jan,2020,80204,sex crimes,34860,27,77.4526678141136
