city,month,year,zcta,desc_crime_type,population,count,rate
detriot,Jan,2017,48021,other,32519,1,3.075125311356438
detriot,Jan,2017,48021,theft,32519,6,18.450751868138628
detriot,Jan,2017,48030,robbery,16587,1,6.028817748839453
detriot,Jan,2017,48033,assault,16507,5,30.29017992366875
detriot,Jan,2017,48033,other,16507,1,6.058035984733749
detriot,Jan,2017,48075,theft,21672,1,4.614248800295312
detriot,Jan,2017,48089,other,31135,1,3.211819495744339
detriot,Jan,2017,48089,theft,31135,1,3.211819495744339
detriot,Jan,2017,48091,other,31023,2,6.446829771459885
detriot,Jan,2017,48091,robbery,31023,1,3.2234148857299423
detriot,Jan,2017,48091,theft,31023,1,3.2234148857299423
detriot,Jan,2017,48091,weapon,31023,1,3.2234148857299423
detriot,Jan,2017,48122,burglary,10432,1,9.585889570552148
detriot,Jan,2017,48126,assault,47908,2,4.174668113884946
detriot,Jan,2017,48126,other,47908,6,12.52400434165484
detriot,Jan,2017,48126,theft,47908,1,2.087334056942473
detriot,Jan,2017,48127,assault,36083,4,11.085552753374165
detriot,Jan,2017,48201,assault,15181,34,223.96416573348264
detriot,Jan,2017,48201,burglary,15181,4,26.34872538040972
detriot,Jan,2017,48201,homicide,15181,1,6.58718134510243
detriot,Jan,2017,48201,mvt,15181,8,52.69745076081944
detriot,Jan,2017,48201,other,15181,55,362.2949739806337
detriot,Jan,2017,48201,robbery,15181,5,32.935906725512154
detriot,Jan,2017,48201,sex crimes,15181,1,6.58718134510243
detriot,Jan,2017,48201,theft,15181,76,500.6257822277847
detriot,Jan,2017,48201,weapon,15181,2,13.17436269020486
detriot,Jan,2017,48202,arson,16664,2,12.00192030724916
detriot,Jan,2017,48202,assault,16664,47,282.04512722035525
detriot,Jan,2017,48202,burglary,16664,7,42.00672107537206
detriot,Jan,2017,48202,mvt,16664,3,18.00288046087374
detriot,Jan,2017,48202,other,16664,58,348.0556889102256
detriot,Jan,2017,48202,robbery,16664,5,30.004800768122898
detriot,Jan,2017,48202,theft,16664,76,456.0729716754681
detriot,Jan,2017,48202,weapon,16664,1,6.00096015362458
detriot,Jan,2017,48203,arson,23155,3,12.95616497516735
detriot,Jan,2017,48203,assault,23155,46,198.66119628589936
detriot,Jan,2017,48203,burglary,23155,8,34.54977326711293
detriot,Jan,2017,48203,homicide,23155,4,17.274886633556466
detriot,Jan,2017,48203,mvt,23155,2,8.637443316778233
detriot,Jan,2017,48203,other,23155,52,224.57352623623407
detriot,Jan,2017,48203,robbery,23155,10,43.18721658389117
detriot,Jan,2017,48203,sex crimes,23155,17,73.41826819261499
detriot,Jan,2017,48203,theft,23155,38,164.11142301878644
