city,month,year,zcta,desc_crime_type,population,count,rate
houston,Jan,2019,77002,assault,15613,58,371.485300710946
houston,Jan,2019,77002,burglary,15613,9,57.644270799974386
houston,Jan,2019,77002,drugs,15613,41,262.6016780887722
houston,Jan,2019,77002,mvt,15613,53,339.46070582207136
houston,Jan,2019,77002,other,15613,235,1505.1559597771088
houston,Jan,2019,77002,robbery,15613,10,64.04918977774932
houston,Jan,2019,77002,sex crimes,15613,2,12.809837955549861
houston,Jan,2019,77002,theft,15613,67,429.1295715109204
houston,Jan,2019,77002,weapon,15613,5,32.02459488887466
houston,Jan,2019,77003,assault,9707,19,195.73503657154632
houston,Jan,2019,77003,burglary,9707,5,51.509220150406925
houston,Jan,2019,77003,drugs,9707,7,72.1129082105697
houston,Jan,2019,77003,mvt,9707,36,370.86638508292987
houston,Jan,2019,77003,other,9707,52,535.6958895642321
houston,Jan,2019,77003,robbery,9707,3,30.905532090244154
houston,Jan,2019,77003,theft,9707,30,309.0553209024415
houston,Jan,2019,77003,weapon,9707,1,10.301844030081384
houston,Jan,2019,77004,assault,37294,80,214.5117177025795
houston,Jan,2019,77004,burglary,37294,25,67.03491178205608
houston,Jan,2019,77004,drugs,37294,65,174.29077063334586
houston,Jan,2019,77004,homicide,37294,1,2.681396471282244
houston,Jan,2019,77004,mvt,37294,61,163.56518474821686
houston,Jan,2019,77004,other,37294,217,581.8630342682469
houston,Jan,2019,77004,robbery,37294,22,58.99072236820937
houston,Jan,2019,77004,sex crimes,37294,2,5.362792942564488
houston,Jan,2019,77004,theft,37294,62,166.24658121949912
houston,Jan,2019,77004,weapon,37294,5,13.406982356411218
houston,Jan,2019,77005,assault,28572,4,13.999720005599888
houston,Jan,2019,77005,burglary,28572,5,17.49965000699986
houston,Jan,2019,77005,drugs,28572,2,6.999860002799944
houston,Jan,2019,77005,mvt,28572,22,76.9984600307994
houston,Jan,2019,77005,other,28572,46,160.99678006439873
houston,Jan,2019,77005,sex crimes,28572,3,10.499790004199916
houston,Jan,2019,77005,theft,28572,11,38.4992300153997
houston,Jan,2019,77006,arson,22580,1,4.428697962798937
houston,Jan,2019,77006,assault,22580,39,172.71922054915856
houston,Jan,2019,77006,burglary,22580,18,79.71656333038086
houston,Jan,2019,77006,drugs,22580,4,17.71479185119575
houston,Jan,2019,77006,mvt,22580,111,491.58547387068205
houston,Jan,2019,77006,other,22580,91,403.0115146147033
houston,Jan,2019,77006,robbery,22580,13,57.57307351638619
houston,Jan,2019,77006,sex crimes,22580,1,4.428697962798937
houston,Jan,2019,77006,theft,22580,43,190.4340124003543
houston,Jan,2019,77007,assault,40080,33,82.33532934131736
houston,Jan,2019,77007,burglary,40080,26,64.87025948103792
houston,Jan,2019,77007,drugs,40080,13,32.43512974051896
houston,Jan,2019,77007,mvt,40080,139,346.8063872255489
houston,Jan,2019,77007,other,40080,139,346.8063872255489
houston,Jan,2019,77007,robbery,40080,8,19.96007984031936
houston,Jan,2019,77007,theft,40080,55,137.2255489021956
houston,Jan,2019,77007,weapon,40080,2,4.99001996007984
houston,Jan,2019,77008,assault,34895,19,54.44906147012466
houston,Jan,2019,77008,burglary,34895,29,83.10646224387447
houston,Jan,2019,77008,drugs,34895,1,2.865740077374982
houston,Jan,2019,77008,mvt,34895,106,303.76844820174813
houston,Jan,2019,77008,other,34895,95,272.2453073506233
houston,Jan,2019,77008,robbery,34895,10,28.65740077374982
houston,Jan,2019,77008,theft,34895,29,83.10646224387447
houston,Jan,2019,77008,weapon,34895,1,2.865740077374982
houston,Jan,2019,77009,assault,36147,52,143.8570282457742
houston,Jan,2019,77009,burglary,36147,13,35.96425706144355
houston,Jan,2019,77009,drugs,36147,24,66.39555149804963
houston,Jan,2019,77009,mvt,36147,52,143.8570282457742
houston,Jan,2019,77009,other,36147,151,417.738678175229
houston,Jan,2019,77009,robbery,36147,10,27.664813124187347
