city,month,year,zcta,desc_crime_type,population,count,rate
jacksonville,Jan,2021,32081,assault,20867,1,4.79225571476494
jacksonville,Jan,2021,32202,assault,6717,17,253.08917671579573
jacksonville,Jan,2021,32202,burglary,6717,4,59.5503945213637
jacksonville,Jan,2021,32202,drugs,6717,16,238.2015780854548
jacksonville,Jan,2021,32202,mvt,6717,17,253.08917671579573
jacksonville,Jan,2021,32202,other,6717,33,491.29075480125056
jacksonville,Jan,2021,32202,robbery,6717,4,59.5503945213637
jacksonville,Jan,2021,32202,sex crimes,6717,1,14.887598630340925
jacksonville,Jan,2021,32202,theft,6717,8,119.1007890427274
jacksonville,Jan,2021,32202,weapon,6717,3,44.662795891022775
jacksonville,Jan,2021,32204,assault,7750,21,270.9677419354839
jacksonville,Jan,2021,32204,burglary,7750,6,77.41935483870968
jacksonville,Jan,2021,32204,drugs,7750,5,64.51612903225806
jacksonville,Jan,2021,32204,homicide,7750,1,12.903225806451614
jacksonville,Jan,2021,32204,mvt,7750,14,180.64516129032256
jacksonville,Jan,2021,32204,other,7750,32,412.90322580645164
jacksonville,Jan,2021,32204,robbery,7750,3,38.70967741935484
jacksonville,Jan,2021,32204,theft,7750,36,464.51612903225805
jacksonville,Jan,2021,32204,weapon,7750,4,51.612903225806456
jacksonville,Jan,2021,32205,assault,31398,51,162.43072807185172
jacksonville,Jan,2021,32205,burglary,31398,19,60.51340849735652
jacksonville,Jan,2021,32205,drugs,31398,24,76.4379896808714
jacksonville,Jan,2021,32205,mvt,31398,28,89.1776546276833
jacksonville,Jan,2021,32205,other,31398,61,194.27989043888147
jacksonville,Jan,2021,32205,robbery,31398,6,19.10949742021785
jacksonville,Jan,2021,32205,theft,31398,90,286.64246130326774
jacksonville,Jan,2021,32205,weapon,31398,7,22.294413656920824
jacksonville,Jan,2021,32206,assault,16406,65,396.19651347068145
jacksonville,Jan,2021,32206,burglary,16406,8,48.76264781177618
jacksonville,Jan,2021,32206,drugs,16406,30,182.85992929416068
jacksonville,Jan,2021,32206,mvt,16406,23,140.1926124588565
jacksonville,Jan,2021,32206,other,16406,63,384.0058515177374
jacksonville,Jan,2021,32206,robbery,16406,1,6.095330976472023
jacksonville,Jan,2021,32206,sex crimes,16406,1,6.095330976472023
jacksonville,Jan,2021,32206,theft,16406,31,188.9552602706327
jacksonville,Jan,2021,32206,weapon,16406,15,91.42996464708034
jacksonville,Jan,2021,32207,assault,36711,39,106.2351883631609
jacksonville,Jan,2021,32207,burglary,36711,9,24.515812699190977
jacksonville,Jan,2021,32207,drugs,36711,19,51.755604587180954
jacksonville,Jan,2021,32207,homicide,36711,1,2.7239791887989977
jacksonville,Jan,2021,32207,mvt,36711,32,87.16733404156793
jacksonville,Jan,2021,32207,other,36711,53,144.37089700634687
jacksonville,Jan,2021,32207,robbery,36711,2,5.447958377597995
jacksonville,Jan,2021,32207,theft,36711,40,108.95916755195991
jacksonville,Jan,2021,32207,weapon,36711,12,32.68775026558797
jacksonville,Jan,2021,32208,assault,32244,67,207.79059670016125
jacksonville,Jan,2021,32208,burglary,32244,15,46.52028284331969
jacksonville,Jan,2021,32208,drugs,32244,32,99.24327006574866
jacksonville,Jan,2021,32208,homicide,32244,1,3.1013521895546456
jacksonville,Jan,2021,32208,mvt,32244,31,96.14191787619401
jacksonville,Jan,2021,32208,other,32244,90,279.1216970599181
jacksonville,Jan,2021,32208,robbery,32244,3,9.304056568663938
jacksonville,Jan,2021,32208,theft,32244,49,151.96625728817764
jacksonville,Jan,2021,32208,weapon,32244,16,49.62163503287433
jacksonville,Jan,2021,32209,arson,35915,1,2.7843519420854794
jacksonville,Jan,2021,32209,assault,35915,136,378.6718641236252
jacksonville,Jan,2021,32209,burglary,35915,34,94.6679660309063
jacksonville,Jan,2021,32209,drugs,35915,48,133.64889322010302
jacksonville,Jan,2021,32209,homicide,35915,2,5.568703884170959
jacksonville,Jan,2021,32209,mvt,35915,56,155.92370875678685
jacksonville,Jan,2021,32209,other,35915,151,420.43714325490737
jacksonville,Jan,2021,32209,robbery,35915,3,8.353055826256439
jacksonville,Jan,2021,32209,theft,35915,82,228.31685925100933
jacksonville,Jan,2021,32209,weapon,35915,26,72.39315049422247
jacksonville,Jan,2021,32210,assault,66824,98,146.65389680354363
jacksonville,Jan,2021,32210,burglary,66824,39,58.36226505447144
jacksonville,Jan,2021,32210,drugs,66824,61,91.28456841853227
jacksonville,Jan,2021,32210,homicide,66824,1,1.4964683347300372
jacksonville,Jan,2021,32210,mvt,66824,65,97.27044175745242
jacksonville,Jan,2021,32210,other,66824,125,187.05854184125465
jacksonville,Jan,2021,32210,robbery,66824,6,8.978810008380222
jacksonville,Jan,2021,32210,sex crimes,66824,1,1.4964683347300372
jacksonville,Jan,2021,32210,theft,66824,85,127.19980845205315
jacksonville,Jan,2021,32210,weapon,66824,27,40.404645037711006
jacksonville,Jan,2021,32211,arson,35668,1,2.8036335090277
jacksonville,Jan,2021,32211,assault,35668,54,151.39620948749578
jacksonville,Jan,2021,32211,burglary,35668,7,19.6254345631939
jacksonville,Jan,2021,32211,drugs,35668,48,134.5744084333296
jacksonville,Jan,2021,32211,homicide,35668,1,2.8036335090277
jacksonville,Jan,2021,32211,mvt,35668,37,103.7344398340249
jacksonville,Jan,2021,32211,other,35668,72,201.86161264999438
jacksonville,Jan,2021,32211,robbery,35668,3,8.4109005270831
jacksonville,Jan,2021,32211,theft,35668,35,98.1271728159695
jacksonville,Jan,2021,32211,weapon,35668,16,44.8581361444432
jacksonville,Jan,2021,32212,assault,2275,1,43.956043956043956
jacksonville,Jan,2021,32216,assault,39762,39,98.08359740455712
jacksonville,Jan,2021,32216,burglary,39762,10,25.14964036014285
jacksonville,Jan,2021,32216,drugs,39762,6,15.08978421608571
