city,month,year,zcta,desc_crime_type,population,count,rate
memphis,Jan,2019,37317,theft,2546,2,78.55459544383346
memphis,Jan,2019,38016,assault,48325,62,128.29798241076048
memphis,Jan,2019,38016,burglary,48325,38,78.63424728401448
memphis,Jan,2019,38016,drugs,48325,18,37.24780134505949
memphis,Jan,2019,38016,mvt,48325,56,115.88204862907398
memphis,Jan,2019,38016,other,48325,242,500.77599586135534
memphis,Jan,2019,38016,robbery,48325,6,12.415933781686496
memphis,Jan,2019,38016,theft,48325,46,95.18882565959649
memphis,Jan,2019,38016,weapon,48325,4,8.277289187790998
memphis,Jan,2019,38017,other,55073,2,3.6315435876019104
memphis,Jan,2019,38018,arson,36289,2,5.511311967813938
memphis,Jan,2019,38018,assault,36289,26,71.6470555815812
memphis,Jan,2019,38018,burglary,36289,32,88.18099148502301
memphis,Jan,2019,38018,drugs,36289,4,11.022623935627877
memphis,Jan,2019,38018,mvt,36289,32,88.18099148502301
memphis,Jan,2019,38018,other,36289,124,341.70134200446415
memphis,Jan,2019,38018,robbery,36289,8,22.045247871255754
memphis,Jan,2019,38018,theft,36289,28,77.15836754939512
memphis,Jan,2019,38018,weapon,36289,4,11.022623935627877
memphis,Jan,2019,38028,other,6655,2,30.052592036063114
memphis,Jan,2019,38028,theft,6655,2,30.052592036063114
memphis,Jan,2019,38103,arson,14684,8,54.48106782892945
memphis,Jan,2019,38103,assault,14684,90,612.9120130754562
memphis,Jan,2019,38103,burglary,14684,24,163.44320348678835
memphis,Jan,2019,38103,drugs,14684,34,231.54453827295015
memphis,Jan,2019,38103,homicide,14684,2,13.620266957232362
memphis,Jan,2019,38103,mvt,14684,60,408.60800871697086
memphis,Jan,2019,38103,other,14684,258,1757.0144374829747
memphis,Jan,2019,38103,robbery,14684,14,95.34186870062653
memphis,Jan,2019,38103,theft,14684,120,817.2160174339417
memphis,Jan,2019,38104,arson,23456,2,8.526603001364256
memphis,Jan,2019,38104,assault,23456,80,341.06412005457025
memphis,Jan,2019,38104,burglary,23456,34,144.95225102319236
memphis,Jan,2019,38104,drugs,23456,38,162.00545702592086
memphis,Jan,2019,38104,homicide,23456,2,8.526603001364256
memphis,Jan,2019,38104,mvt,23456,78,332.537517053206
memphis,Jan,2019,38104,other,23456,296,1261.93724420191
memphis,Jan,2019,38104,robbery,23456,26,110.84583901773534
memphis,Jan,2019,38104,theft,23456,96,409.2769440654843
memphis,Jan,2019,38104,weapon,23456,8,34.106412005457024
memphis,Jan,2019,38105,assault,5915,20,338.12341504649197
memphis,Jan,2019,38105,burglary,5915,4,67.6246830092984
memphis,Jan,2019,38105,drugs,5915,8,135.2493660185968
memphis,Jan,2019,38105,mvt,5915,8,135.2493660185968
