city,month,year,zcta,desc_crime_type,population,count,rate
philadelphia,Jan,2016,19012,other,6513,1,15.353907569476432
philadelphia,Jan,2016,19038,burglary,30852,1,3.2412809542331127
philadelphia,Jan,2016,19038,other,30852,1,3.2412809542331127
philadelphia,Jan,2016,19066,burglary,5783,1,17.292062943109116
philadelphia,Jan,2016,19066,theft,5783,1,17.292062943109116
philadelphia,Jan,2016,19095,other,7393,2,27.052617340727714
philadelphia,Jan,2016,19095,theft,7393,1,13.526308670363857
philadelphia,Jan,2016,19096,assault,13545,2,14.765596160944998
philadelphia,Jan,2016,19096,other,13545,1,7.382798080472499
philadelphia,Jan,2016,19096,robbery,13545,1,7.382798080472499
philadelphia,Jan,2016,19096,theft,13545,4,29.531192321889996
philadelphia,Jan,2016,19102,arson,4867,1,20.546537908362442
philadelphia,Jan,2016,19102,assault,4867,35,719.1288267926853
philadelphia,Jan,2016,19102,drugs,4867,5,102.7326895418122
philadelphia,Jan,2016,19102,other,4867,76,1561.5368810355455
philadelphia,Jan,2016,19102,robbery,4867,4,82.18615163344977
philadelphia,Jan,2016,19102,theft,4867,37,760.2219026094103
philadelphia,Jan,2016,19102,weapon,4867,2,41.093075816724884
philadelphia,Jan,2016,19103,assault,22911,23,100.38845969185107
philadelphia,Jan,2016,19103,burglary,22911,5,21.823578193880667
philadelphia,Jan,2016,19103,drugs,22911,2,8.729431277552267
philadelphia,Jan,2016,19103,other,22911,99,432.10684823883724
philadelphia,Jan,2016,19103,robbery,22911,8,34.91772511020907
philadelphia,Jan,2016,19103,theft,22911,64,279.34180088167255
philadelphia,Jan,2016,19103,weapon,22911,3,13.094146916328402
philadelphia,Jan,2016,19104,assault,54890,70,127.52778283840408
philadelphia,Jan,2016,19104,burglary,54890,18,32.79285844416105
philadelphia,Jan,2016,19104,drugs,54890,19,34.614683913281105
philadelphia,Jan,2016,19104,mvt,54890,1,1.8218254691200582
philadelphia,Jan,2016,19104,other,54890,166,302.4230278739297
philadelphia,Jan,2016,19104,robbery,54890,21,38.25833485152122
philadelphia,Jan,2016,19104,sex crimes,54890,3,5.465476407360175
philadelphia,Jan,2016,19104,theft,54890,82,149.3896884678448
philadelphia,Jan,2016,19104,weapon,54890,1,1.8218254691200582
philadelphia,Jan,2016,19106,assault,12095,14,115.75031004547333
philadelphia,Jan,2016,19106,burglary,12095,1,8.267879288962382
philadelphia,Jan,2016,19106,drugs,12095,1,8.267879288962382
philadelphia,Jan,2016,19106,mvt,12095,1,8.267879288962382
philadelphia,Jan,2016,19106,other,12095,33,272.8400165357586
philadelphia,Jan,2016,19106,sex crimes,12095,2,16.535758577924764
philadelphia,Jan,2016,19106,theft,12095,26,214.9648615130219
philadelphia,Jan,2016,19107,assault,13464,35,259.9524658348188
philadelphia,Jan,2016,19107,burglary,13464,2,14.854426619132502
philadelphia,Jan,2016,19107,drugs,13464,8,59.41770647653001
philadelphia,Jan,2016,19107,other,13464,129,958.1105169340462
philadelphia,Jan,2016,19107,robbery,13464,5,37.136066547831255
philadelphia,Jan,2016,19107,sex crimes,13464,2,14.854426619132502
philadelphia,Jan,2016,19107,theft,13464,134,995.2465834818776
philadelphia,Jan,2016,19107,weapon,13464,2,14.854426619132502
philadelphia,Jan,2016,19109,assault,0,1,Inf
philadelphia,Jan,2016,19109,other,0,2,Inf
philadelphia,Jan,2016,19109,theft,0,1,Inf
philadelphia,Jan,2016,19111,arson,69917,2,2.86053463392308
philadelphia,Jan,2016,19111,assault,69917,43,61.50149462934622
philadelphia,Jan,2016,19111,burglary,69917,14,20.02374243746156
philadelphia,Jan,2016,19111,drugs,69917,8,11.44213853569232
philadelphia,Jan,2016,19111,mvt,69917,3,4.29080195088462
philadelphia,Jan,2016,19111,other,69917,101,144.45699901311556
philadelphia,Jan,2016,19111,robbery,69917,18,25.744811705307722
philadelphia,Jan,2016,19111,sex crimes,69917,4,5.72106926784616
philadelphia,Jan,2016,19111,theft,69917,37,52.919890727576984
philadelphia,Jan,2016,19111,weapon,69917,5,7.151336584807701
philadelphia,Jan,2016,19112,theft,0,1,Inf
philadelphia,Jan,2016,19114,assault,30639,23,75.06772414243285
philadelphia,Jan,2016,19114,burglary,30639,9,29.37432683834329
philadelphia,Jan,2016,19114,drugs,30639,5,16.31907046574627
philadelphia,Jan,2016,19114,other,30639,40,130.55256372597017
philadelphia,Jan,2016,19114,robbery,30639,1,3.2638140931492545
philadelphia,Jan,2016,19114,theft,30639,55,179.50977512320898
philadelphia,Jan,2016,19114,weapon,30639,1,3.2638140931492545
philadelphia,Jan,2016,19115,assault,32583,13,39.898106374489764
philadelphia,Jan,2016,19115,burglary,32583,8,24.552680845839856
philadelphia,Jan,2016,19115,drugs,32583,1,3.069085105729982
philadelphia,Jan,2016,19115,other,32583,33,101.2798084890894
philadelphia,Jan,2016,19115,robbery,32583,2,6.138170211459964
philadelphia,Jan,2016,19115,theft,32583,23,70.5889574317896
philadelphia,Jan,2016,19115,weapon,32583,1,3.069085105729982
philadelphia,Jan,2016,19116,assault,33212,18,54.197278092255814
philadelphia,Jan,2016,19116,burglary,33212,5,15.054799470071059
philadelphia,Jan,2016,19116,drugs,33212,3,9.032879682042635
philadelphia,Jan,2016,19116,mvt,33212,1,3.0109598940142117
philadelphia,Jan,2016,19116,other,33212,33,99.36167650246898
philadelphia,Jan,2016,19116,robbery,33212,4,12.043839576056847
philadelphia,Jan,2016,19116,sex crimes,33212,2,6.021919788028423
philadelphia,Jan,2016,19116,theft,33212,24,72.26303745634108
philadelphia,Jan,2016,19116,weapon,33212,2,6.021919788028423
philadelphia,Jan,2016,19118,assault,10539,2,18.9771325552709
philadelphia,Jan,2016,19118,burglary,10539,4,37.9542651105418
philadelphia,Jan,2016,19118,drugs,10539,2,18.9771325552709
philadelphia,Jan,2016,19118,other,10539,8,75.9085302210836
