city,month,year,zcta,desc_crime_type,population,count,rate
portland,Jan,2016,97030,theft,38105,2,5.2486550321480125
portland,Jan,2016,97035,other,24630,1,4.060089321965083
portland,Jan,2016,97080,burglary,42486,1,2.3537165183825257
portland,Jan,2016,97086,other,28373,2,7.048954992422374
portland,Jan,2016,97086,theft,28373,1,3.524477496211187
portland,Jan,2016,97140,other,25049,1,3.992175336340772
portland,Jan,2016,97201,assault,16946,7,41.30768322908061
portland,Jan,2016,97201,mvt,16946,14,82.61536645816122
portland,Jan,2016,97201,other,16946,31,182.93402572878554
portland,Jan,2016,97201,robbery,16946,3,17.70329281246312
portland,Jan,2016,97201,theft,16946,65,383.5713442700342
portland,Jan,2016,97202,assault,41719,5,11.984946906685204
portland,Jan,2016,97202,burglary,41719,22,52.733766389414896
portland,Jan,2016,97202,drugs,41719,1,2.3969893813370406
portland,Jan,2016,97202,mvt,41719,22,52.733766389414896
portland,Jan,2016,97202,other,41719,34,81.49763896545939
portland,Jan,2016,97202,theft,41719,102,244.49291689637815
portland,Jan,2016,97203,arson,33715,1,2.966038855109002
portland,Jan,2016,97203,assault,33715,11,32.62642740619902
portland,Jan,2016,97203,burglary,33715,10,29.660388551090016
portland,Jan,2016,97203,drugs,33715,9,26.694349695981018
portland,Jan,2016,97203,mvt,33715,13,38.558505116417024
portland,Jan,2016,97203,other,33715,45,133.4717484799051
portland,Jan,2016,97203,theft,33715,48,142.36986504523207
portland,Jan,2016,97203,weapon,33715,3,8.898116565327005
portland,Jan,2016,97204,arson,1033,1,96.805421103581807
portland,Jan,2016,97204,assault,1033,20,1936.108422071636
portland,Jan,2016,97204,burglary,1033,8,774.4433688286545
portland,Jan,2016,97204,drugs,1033,4,387.22168441432723
portland,Jan,2016,97204,mvt,1033,6,580.8325266214908
portland,Jan,2016,97204,other,1033,26,2516.9409486931268
portland,Jan,2016,97204,robbery,1033,3,290.4162633107454
portland,Jan,2016,97204,theft,1033,75,7260.4065827686345
portland,Jan,2016,97204,weapon,1033,1,96.805421103581807
portland,Jan,2016,97205,assault,7262,17,234.09529055356649
portland,Jan,2016,97205,burglary,7262,2,27.54062241806665
portland,Jan,2016,97205,drugs,7262,9,123.93280088129993
portland,Jan,2016,97205,mvt,7262,7,96.39217846323326
portland,Jan,2016,97205,other,7262,29,399.3390250619664
portland,Jan,2016,97205,robbery,7262,2,27.54062241806665
portland,Jan,2016,97205,theft,7262,91,1253.0983200220326
portland,Jan,2016,97205,weapon,7262,1,13.770311209033325
portland,Jan,2016,97206,assault,49935,22,44.05727445679383
portland,Jan,2016,97206,burglary,49935,25,50.06508460999299
portland,Jan,2016,97206,drugs,49935,3,6.007810153199159
portland,Jan,2016,97206,mvt,49935,35,70.09111845399018
portland,Jan,2016,97206,other,49935,49,98.12756583558627
portland,Jan,2016,97206,robbery,49935,3,6.007810153199159
