month,year,zcta,desc_crime_type,population,count,rate
Jan,2023,78201,assault,43426,60,138.16607562289872
Jan,2023,78201,burglary,43426,27,62.17473403030443
Jan,2023,78201,drugs,43426,34,78.29410951964262
Jan,2023,78201,mvt,43426,56,128.9550039147055
Jan,2023,78201,other,43426,102,234.8823285589278
Jan,2023,78201,robbery,43426,2,4.605535854096624
Jan,2023,78201,sex crimes,43426,2,4.605535854096624
Jan,2023,78201,theft,43426,62,142.77161147699533
Jan,2023,78201,weapon,43426,5,11.51383963524156
Jan,2023,78202,assault,9952,43,432.0739549839229
Jan,2023,78202,burglary,9952,14,140.6752411575563
Jan,2023,78202,drugs,9952,8,80.38585209003216
Jan,2023,78202,mvt,9952,23,231.10932475884243
Jan,2023,78202,other,9952,22,221.06109324758842
Jan,2023,78202,robbery,9952,2,20.09646302250804
Jan,2023,78202,theft,9952,21,211.01286173633443
Jan,2023,78202,weapon,9952,2,20.09646302250804
Jan,2023,78203,assault,4845,5,103.19917440660474
Jan,2023,78203,burglary,4845,6,123.8390092879257
Jan,2023,78203,drugs,4845,7,144.47884416924666
Jan,2023,78203,mvt,4845,8,165.11867905056758
Jan,2023,78203,other,4845,19,392.156862745098
Jan,2023,78203,sex crimes,4845,1,20.639834881320947
Jan,2023,78203,theft,4845,6,123.8390092879257
Jan,2023,78203,weapon,4845,3,61.91950464396285
Jan,2023,78204,arson,11944,1,8.372404554588078
Jan,2023,78204,assault,11944,19,159.07568653717348
Jan,2023,78204,burglary,11944,10,83.72404554588077
Jan,2023,78204,drugs,11944,23,192.5653047555258
Jan,2023,78204,mvt,11944,46,385.1306095110516
Jan,2023,78204,other,11944,39,326.523777628935
Jan,2023,78204,sex crimes,11944,2,16.744809109176156
Jan,2023,78204,theft,11944,18,150.7032819825854
Jan,2023,78204,weapon,11944,1,8.372404554588078
Jan,2023,78205,arson,1653,2,120.99213551119178
Jan,2023,78205,assault,1653,43,2601.330913490623
Jan,2023,78205,burglary,1653,2,120.99213551119178
Jan,2023,78205,drugs,1653,45,2722.323049001815
Jan,2023,78205,mvt,1653,50,3024.8033877797943
Jan,2023,78205,other,1653,88,5323.653962492438
Jan,2023,78205,robbery,1653,6,362.9764065335753
Jan,2023,78205,sex crimes,1653,2,120.99213551119178
Jan,2023,78205,theft,1653,56,3387.7797943133696
Jan,2023,78205,weapon,1653,4,241.98427102238355
Jan,2023,78207,arson,54128,1,1.8474726574046705
Jan,2023,78207,assault,54128,127,234.62902749039313
Jan,2023,78207,burglary,54128,30,55.42417972214011
Jan,2023,78207,drugs,54128,105,193.9846290274904
Jan,2023,78207,homicide,54128,1,1.8474726574046705
Jan,2023,78207,mvt,54128,51,94.22110552763819
Jan,2023,78207,other,54128,150,277.1208986107006
Jan,2023,78207,robbery,54128,8,14.779781259237364
Jan,2023,78207,sex crimes,54128,6,11.084835944428022
Jan,2023,78207,theft,54128,78,144.1028672775643
Jan,2023,78207,weapon,54128,14,25.864617203665386
Jan,2023,78208,assault,3877,9,232.1382512251741
Jan,2023,78208,burglary,3877,4,103.17255610007739
Jan,2023,78208,drugs,3877,4,103.17255610007739
