city,month,year,zcta,desc_crime_type,population,count,rate
seattle,Jan,2016,98101,assault,12044,33,273.9953503819329
seattle,Jan,2016,98101,burglary,12044,29,240.78379275988044
seattle,Jan,2016,98101,drugs,12044,31,257.3895715709067
seattle,Jan,2016,98101,mvt,12044,11,91.3317834606443
seattle,Jan,2016,98101,other,12044,294,2441.0494852208567
seattle,Jan,2016,98101,robbery,12044,14,116.24045167718366
seattle,Jan,2016,98101,theft,12044,145,1203.9189637994023
seattle,Jan,2016,98101,weapon,12044,2,16.605778811026237
seattle,Jan,2016,98102,arson,24030,1,4.161464835622139
seattle,Jan,2016,98102,assault,24030,9,37.453183520599254
seattle,Jan,2016,98102,burglary,24030,32,133.16687473990845
seattle,Jan,2016,98102,drugs,24030,8,33.29171868497711
seattle,Jan,2016,98102,mvt,24030,10,41.614648356221394
seattle,Jan,2016,98102,other,24030,91,378.69330004161463
seattle,Jan,2016,98102,robbery,24030,4,16.645859342488556
seattle,Jan,2016,98102,theft,24030,47,195.58884727424055
seattle,Jan,2016,98102,weapon,24030,5,20.807324178110697
seattle,Jan,2016,98103,assault,49364,10,20.257677659833078
seattle,Jan,2016,98103,burglary,49364,55,111.41722712908194
seattle,Jan,2016,98103,drugs,49364,9,18.231909893849767
seattle,Jan,2016,98103,mvt,49364,20,40.515355319666156
seattle,Jan,2016,98103,other,49364,110,222.83445425816387
seattle,Jan,2016,98103,robbery,49364,8,16.20614212786646
seattle,Jan,2016,98103,theft,49364,99,200.55100883234746
seattle,Jan,2016,98103,weapon,49364,2,4.051535531966615
seattle,Jan,2016,98104,arson,13989,1,7.1484738008435205
seattle,Jan,2016,98104,assault,13989,50,357.42369004217596
seattle,Jan,2016,98104,burglary,13989,13,92.93015941096576
seattle,Jan,2016,98104,drugs,13989,28,200.15726642361858
seattle,Jan,2016,98104,mvt,13989,22,157.26642361855744
seattle,Jan,2016,98104,other,13989,192,1372.5069697619558
seattle,Jan,2016,98104,robbery,13989,14,100.07863321180929
seattle,Jan,2016,98104,theft,13989,82,586.1748516691686
seattle,Jan,2016,98104,weapon,13989,3,21.44542140253056
seattle,Jan,2016,98105,assault,46514,15,32.248355333877974
seattle,Jan,2016,98105,burglary,46514,43,92.44528529045019
seattle,Jan,2016,98105,drugs,46514,1,2.1498903555918645
seattle,Jan,2016,98105,mvt,46514,17,36.5481360450617
seattle,Jan,2016,98105,other,46514,118,253.68706195984004
seattle,Jan,2016,98105,robbery,46514,4,8.599561422367458
seattle,Jan,2016,98105,theft,46514,88,189.1903512920841
seattle,Jan,2016,98105,weapon,46514,3,6.449671066775594
seattle,Jan,2016,98106,assault,25846,5,19.345353246150275
seattle,Jan,2016,98106,burglary,25846,12,46.428847790760656
seattle,Jan,2016,98106,drugs,25846,1,3.8690706492300553
seattle,Jan,2016,98106,mvt,25846,11,42.5597771415306
seattle,Jan,2016,98106,other,25846,65,251.4895921999536
seattle,Jan,2016,98106,robbery,25846,5,19.345353246150275
seattle,Jan,2016,98106,theft,25846,44,170.2391085661224
seattle,Jan,2016,98106,weapon,25846,4,15.476282596920221
seattle,Jan,2016,98107,assault,24179,10,41.35820339964432
seattle,Jan,2016,98107,burglary,24179,23,95.12386781918192
seattle,Jan,2016,98107,drugs,24179,1,4.135820339964432
seattle,Jan,2016,98107,mvt,24179,8,33.08656271971546
seattle,Jan,2016,98107,other,24179,80,330.86562719715454
seattle,Jan,2016,98107,robbery,24179,1,4.135820339964432
seattle,Jan,2016,98107,theft,24179,46,190.24773563836385
seattle,Jan,2016,98107,weapon,24179,2,8.271640679928865
seattle,Jan,2016,98108,assault,24351,17,69.81232803580961
seattle,Jan,2016,98108,burglary,24351,9,36.95946778366391
seattle,Jan,2016,98108,drugs,24351,2,8.213215063036426
seattle,Jan,2016,98108,mvt,24351,7,28.74625272062749
seattle,Jan,2016,98108,other,24351,53,217.65019917046527
seattle,Jan,2016,98108,robbery,24351,2,8.213215063036426
seattle,Jan,2016,98108,theft,24351,20,82.13215063036425
seattle,Jan,2016,98108,weapon,24351,1,4.106607531518213
seattle,Jan,2016,98109,assault,25906,12,46.32131552536092
seattle,Jan,2016,98109,burglary,25906,28,108.08306955917548
seattle,Jan,2016,98109,mvt,25906,17,65.62186366092797
seattle,Jan,2016,98109,other,25906,99,382.1508530842276
seattle,Jan,2016,98109,robbery,25906,3,11.58032888134023
seattle,Jan,2016,98109,theft,25906,81,312.6688797961862
seattle,Jan,2016,98109,weapon,25906,1,3.86010962711341
seattle,Jan,2016,98112,burglary,23082,13,56.32094272593363
seattle,Jan,2016,98112,mvt,23082,5,21.66190104843601
seattle,Jan,2016,98112,other,23082,31,134.30378650030326
seattle,Jan,2016,98112,theft,23082,47,203.6218698552985
seattle,Jan,2016,98115,assault,50258,3,5.969198933503124
seattle,Jan,2016,98115,burglary,50258,39,77.5995861355406
seattle,Jan,2016,98115,drugs,50258,1,1.9897329778343744
seattle,Jan,2016,98115,mvt,50258,27,53.722790401528115
seattle,Jan,2016,98115,other,50258,52,103.46611484738747
seattle,Jan,2016,98115,robbery,50258,5,9.948664889171873
seattle,Jan,2016,98115,theft,50258,61,121.37371164789685
seattle,Jan,2016,98115,weapon,50258,1,1.9897329778343744
seattle,Jan,2016,98116,assault,25234,6,23.777443132281842
seattle,Jan,2016,98116,burglary,25234,9,35.66616469842276
seattle,Jan,2016,98116,drugs,25234,1,3.9629071887136402
seattle,Jan,2016,98116,mvt,25234,4,15.851628754854561
seattle,Jan,2016,98116,other,25234,39,154.55338035983198
seattle,Jan,2016,98116,robbery,25234,2,7.9258143774272805
seattle,Jan,2016,98116,theft,25234,19,75.29523658555917
seattle,Jan,2016,98117,arson,32682,1,3.059788262652224
seattle,Jan,2016,98117,assault,32682,7,21.41851783856557
seattle,Jan,2016,98117,burglary,32682,14,42.83703567713114
seattle,Jan,2016,98117,drugs,32682,1,3.059788262652224
seattle,Jan,2016,98117,mvt,32682,8,24.478306101217793
seattle,Jan,2016,98117,other,32682,51,156.04920139526345
seattle,Jan,2016,98117,robbery,32682,1,3.059788262652224
seattle,Jan,2016,98117,theft,32682,33,100.9730126675234
seattle,Jan,2016,98118,arson,44686,1,2.2378373539811127
seattle,Jan,2016,98118,assault,44686,14,31.32972295573558
seattle,Jan,2016,98118,burglary,44686,13,29.091885601754463
seattle,Jan,2016,98118,drugs,44686,8,17.9026988318489
seattle,Jan,2016,98118,mvt,44686,11,24.61621089379224
seattle,Jan,2016,98118,other,44686,111,248.3999462919035
seattle,Jan,2016,98118,robbery,44686,11,24.61621089379224
seattle,Jan,2016,98118,theft,44686,53,118.60537976099896
seattle,Jan,2016,98118,weapon,44686,5,11.189186769905563
seattle,Jan,2016,98119,assault,24567,4,16.282004314731143
seattle,Jan,2016,98119,burglary,24567,12,48.84601294419343
seattle,Jan,2016,98119,drugs,24567,1,4.070501078682786
seattle,Jan,2016,98119,mvt,24567,8,32.564008629462286
seattle,Jan,2016,98119,other,24567,38,154.67904098994586
seattle,Jan,2016,98119,robbery,24567,1,4.070501078682786
seattle,Jan,2016,98119,theft,24567,33,134.32653559653193
seattle,Jan,2016,98119,weapon,24567,1,4.070501078682786
seattle,Jan,2016,98121,assault,14678,16,109.00667665894535
seattle,Jan,2016,98121,burglary,14678,15,102.19375936776129
seattle,Jan,2016,98121,drugs,14678,17,115.81959395012943
seattle,Jan,2016,98121,mvt,14678,6,40.87750374710451
seattle,Jan,2016,98121,other,14678,102,694.9175637007767
seattle,Jan,2016,98121,robbery,14678,5,34.06458645592043
seattle,Jan,2016,98121,theft,14678,91,619.97547349775175
seattle,Jan,2016,98121,weapon,14678,3,20.438751873552256
seattle,Jan,2016,98122,assault,35445,46,129.7785301170828
seattle,Jan,2016,98122,burglary,35445,20,56.42544787699252
seattle,Jan,2016,98122,drugs,35445,8,22.57017915079701
seattle,Jan,2016,98122,mvt,35445,14,39.49781351389476
seattle,Jan,2016,98122,other,35445,169,476.7950345605868
seattle,Jan,2016,98122,robbery,35445,16,45.14035830159402
seattle,Jan,2016,98122,theft,35445,124,349.83777683735366
